annee;code_NAF5;libelle_NAF5;partie_corps
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;épaule
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;coude
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;poignet, main, doigt
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;genou
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;cheville, pied
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;dos
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;corps entier
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;association de plusieurs syndromes du tableau
2015;0112Z;Culture du riz;épaule
2015;0112Z;Culture du riz;coude
2015;0112Z;Culture du riz;poignet, main, doigt
2015;0112Z;Culture du riz;genou
2015;0112Z;Culture du riz;cheville, pied
2015;0112Z;Culture du riz;dos
2015;0112Z;Culture du riz;corps entier
2015;0112Z;Culture du riz;association de plusieurs syndromes du tableau
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;épaule
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;coude
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;poignet, main, doigt
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;genou
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;cheville, pied
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;dos
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;corps entier
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;association de plusieurs syndromes du tableau
2015;0114Z;Culture de la canne à sucre;épaule
2015;0114Z;Culture de la canne à sucre;coude
2015;0114Z;Culture de la canne à sucre;poignet, main, doigt
2015;0114Z;Culture de la canne à sucre;genou
2015;0114Z;Culture de la canne à sucre;cheville, pied
2015;0114Z;Culture de la canne à sucre;dos
2015;0114Z;Culture de la canne à sucre;corps entier
2015;0114Z;Culture de la canne à sucre;association de plusieurs syndromes du tableau
2015;0115Z;Culture du tabac;épaule
2015;0115Z;Culture du tabac;coude
2015;0115Z;Culture du tabac;poignet, main, doigt
2015;0115Z;Culture du tabac;genou
2015;0115Z;Culture du tabac;cheville, pied
2015;0115Z;Culture du tabac;dos
2015;0115Z;Culture du tabac;corps entier
2015;0115Z;Culture du tabac;association de plusieurs syndromes du tableau
2015;0116Z;Culture de plantes à fibres;épaule
2015;0116Z;Culture de plantes à fibres;coude
2015;0116Z;Culture de plantes à fibres;poignet, main, doigt
2015;0116Z;Culture de plantes à fibres;genou
2015;0116Z;Culture de plantes à fibres;cheville, pied
2015;0116Z;Culture de plantes à fibres;dos
2015;0116Z;Culture de plantes à fibres;corps entier
2015;0116Z;Culture de plantes à fibres;association de plusieurs syndromes du tableau
2015;0119Z;Autres cultures non permanentes;épaule
2015;0119Z;Autres cultures non permanentes;coude
2015;0119Z;Autres cultures non permanentes;poignet, main, doigt
2015;0119Z;Autres cultures non permanentes;genou
2015;0119Z;Autres cultures non permanentes;cheville, pied
2015;0119Z;Autres cultures non permanentes;dos
2015;0119Z;Autres cultures non permanentes;corps entier
2015;0119Z;Autres cultures non permanentes;association de plusieurs syndromes du tableau
2015;0121Z;Culture de la vigne;épaule
2015;0121Z;Culture de la vigne;coude
2015;0121Z;Culture de la vigne;poignet, main, doigt
2015;0121Z;Culture de la vigne;genou
2015;0121Z;Culture de la vigne;cheville, pied
2015;0121Z;Culture de la vigne;dos
2015;0121Z;Culture de la vigne;corps entier
2015;0121Z;Culture de la vigne;association de plusieurs syndromes du tableau
2015;0122Z;Culture de fruits tropicaux et subtropicaux;épaule
2015;0122Z;Culture de fruits tropicaux et subtropicaux;coude
2015;0122Z;Culture de fruits tropicaux et subtropicaux;poignet, main, doigt
2015;0122Z;Culture de fruits tropicaux et subtropicaux;genou
2015;0122Z;Culture de fruits tropicaux et subtropicaux;cheville, pied
2015;0122Z;Culture de fruits tropicaux et subtropicaux;dos
2015;0122Z;Culture de fruits tropicaux et subtropicaux;corps entier
2015;0122Z;Culture de fruits tropicaux et subtropicaux;association de plusieurs syndromes du tableau
2015;0123Z;Culture d'agrumes;épaule
2015;0123Z;Culture d'agrumes;coude
2015;0123Z;Culture d'agrumes;poignet, main, doigt
2015;0123Z;Culture d'agrumes;genou
2015;0123Z;Culture d'agrumes;cheville, pied
2015;0123Z;Culture d'agrumes;dos
2015;0123Z;Culture d'agrumes;corps entier
2015;0123Z;Culture d'agrumes;association de plusieurs syndromes du tableau
2015;0124Z;Culture de fruits à pépins et à noyau;épaule
