annee;risque;poste_depenses;montant_depenses
2015;Accidents de trajet;Frais de santé (frais médicaux, pharmacie, hospitalisation);123156675
2015;Accidents de trajet;Indemnités en capital, rentes, capital décès;354465828
2015;Accidents de trajet;Indemnités journalières;283865550
2015;Accidents de trajet;Tous postes de dépense confondus;761488053
2015;Accidents du travail;Frais de santé (frais médicaux, pharmacie, hospitalisation);493383039
2015;Accidents du travail;Indemnités en capital, rentes, capital décès;1141478870
2015;Accidents du travail;Indemnités journalières;1906844264
2015;Accidents du travail;Tous postes de dépense confondus;3541706173
2015;Maladies professionnelles;Frais de santé (frais médicaux, pharmacie, hospitalisation);77608131
2015;Maladies professionnelles;Indemnités en capital, rentes, capital décès;1644895589
2015;Maladies professionnelles;Indemnités journalières;537237951
2015;Maladies professionnelles;Tous postes de dépense confondus;2259741671
2015;Tous risques confondus;Frais de santé (frais médicaux, pharmacie, hospitalisation);694147845
2015;Tous risques confondus;Indemnités en capital, rentes, capital décès;3140840287
2015;Tous risques confondus;Indemnités journalières;2727947765
2015;Tous risques confondus;Tous postes de dépense confondus;6562935897
2016;Accidents de trajet;Frais de santé (frais médicaux, pharmacie, hospitalisation);123598818
2016;Accidents de trajet;Indemnités en capital, rentes, capital décès;323090559
2016;Accidents de trajet;Indemnités journalières;294317216
2016;Accidents de trajet;Tous postes de dépense confondus;741006593
2016;Accidents du travail;Frais de santé (frais médicaux, pharmacie, hospitalisation);505229559
2016;Accidents du travail;Indemnités en capital, rentes, capital décès;1077430688
2016;Accidents du travail;Indemnités journalières;1986596212
2016;Accidents du travail;Tous postes de dépense confondus;3569256459
2016;Maladies professionnelles;Frais de santé (frais médicaux, pharmacie, hospitalisation);79269303
2016;Maladies professionnelles;Indemnités en capital, rentes, capital décès;1576108276
2016;Maladies professionnelles;Indemnités journalières;550126227
2016;Maladies professionnelles;Tous postes de dépense confondus;2205503806
2016;Tous risques confondus;Frais de santé (frais médicaux, pharmacie, hospitalisation);708097680
2016;Tous risques confondus;Indemnités en capital, rentes, capital décès;2976629523
2016;Tous risques confondus;Indemnités journalières;2831039655
2016;Tous risques confondus;Tous postes de dépense confondus;6515766858
2017;Accidents de trajet;Frais de santé (frais médicaux, pharmacie, hospitalisation);119436915
2017;Accidents de trajet;Indemnités en capital, rentes, capital décès;371212854
2017;Accidents de trajet;Indemnités journalières;311279329
2017;Accidents de trajet;Tous postes de dépense confondus;801929098
2017;Accidents du travail;Frais de santé (frais médicaux, pharmacie, hospitalisation);507382784
2017;Accidents du travail;Indemnités en capital, rentes, capital décès;1239479215
2017;Accidents du travail;Indemnités journalières;2048304719
2017;Accidents du travail;Tous postes de dépense confondus;3795166718
2017;Maladies professionnelles;Frais de santé (frais médicaux, pharmacie, hospitalisation);75610466
2017;Maladies professionnelles;Indemnités en capital, rentes, capital décès;1885168181
2017;Maladies professionnelles;Indemnités journalières;574678430
2017;Maladies professionnelles;Tous postes de dépense confondus;2535457077
2017;Tous risques confondus;Frais de santé (frais médicaux, pharmacie, hospitalisation);702430165
2017;Tous risques confondus;Indemnités en capital, rentes, capital décès;3495860250
2017;Tous risques confondus;Indemnités journalières;2934262478
2017;Tous risques confondus;Tous postes de dépense confondus;7132552893
2018;Accidents de trajet;Frais de santé (frais médicaux, pharmacie, hospitalisation);115045928
2018;Accidents de trajet;Indemnités en capital, rentes, capital décès;396878939
