annee;code_NAF5;libelle_NAF5;libelle_cause_TR
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Autres causes
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Chute de hauteur
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Entrainé par quelque chose ou quelqu'un
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Geste intempestif
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Perte d'équilibre avec chute
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Perte d'équilibre sans chute
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Perte de contrôle d'un véhicule
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Violence et agression
2015;0112Z;Culture du riz;Autres causes
2015;0112Z;Culture du riz;Chute de hauteur
2015;0112Z;Culture du riz;Entrainé par quelque chose ou quelqu'un
2015;0112Z;Culture du riz;Geste intempestif
2015;0112Z;Culture du riz;Perte d'équilibre avec chute
2015;0112Z;Culture du riz;Perte d'équilibre sans chute
2015;0112Z;Culture du riz;Perte de contrôle d'un véhicule
2015;0112Z;Culture du riz;Violence et agression
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Autres causes
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Chute de hauteur
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Entrainé par quelque chose ou quelqu'un
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Geste intempestif
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Perte d'équilibre avec chute
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Perte d'équilibre sans chute
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Perte de contrôle d'un véhicule
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Violence et agression
2015;0114Z;Culture de la canne à sucre;Autres causes
2015;0114Z;Culture de la canne à sucre;Chute de hauteur
2015;0114Z;Culture de la canne à sucre;Entrainé par quelque chose ou quelqu'un
2015;0114Z;Culture de la canne à sucre;Geste intempestif
2015;0114Z;Culture de la canne à sucre;Perte d'équilibre avec chute
2015;0114Z;Culture de la canne à sucre;Perte d'équilibre sans chute
2015;0114Z;Culture de la canne à sucre;Perte de contrôle d'un véhicule
2015;0114Z;Culture de la canne à sucre;Violence et agression
2015;0115Z;Culture du tabac;Autres causes
2015;0115Z;Culture du tabac;Chute de hauteur
2015;0115Z;Culture du tabac;Entrainé par quelque chose ou quelqu'un
2015;0115Z;Culture du tabac;Geste intempestif
2015;0115Z;Culture du tabac;Perte d'équilibre avec chute
2015;0115Z;Culture du tabac;Perte d'équilibre sans chute
2015;0115Z;Culture du tabac;Perte de contrôle d'un véhicule
2015;0115Z;Culture du tabac;Violence et agression
2015;0116Z;Culture de plantes à fibres;Autres causes
2015;0116Z;Culture de plantes à fibres;Chute de hauteur
2015;0116Z;Culture de plantes à fibres;Entrainé par quelque chose ou quelqu'un
2015;0116Z;Culture de plantes à fibres;Geste intempestif
2015;0116Z;Culture de plantes à fibres;Perte d'équilibre avec chute
2015;0116Z;Culture de plantes à fibres;Perte d'équilibre sans chute
2015;0116Z;Culture de plantes à fibres;Perte de contrôle d'un véhicule
2015;0116Z;Culture de plantes à fibres;Violence et agression
2015;0119Z;Autres cultures non permanentes;Autres causes
2015;0119Z;Autres cultures non permanentes;Chute de hauteur
2015;0119Z;Autres cultures non permanentes;Entrainé par quelque chose ou quelqu'un
2015;0119Z;Autres cultures non permanentes;Geste intempestif
2015;0119Z;Autres cultures non permanentes;Perte d'équilibre avec chute
2015;0119Z;Autres cultures non permanentes;Perte d'équilibre sans chute
2015;0119Z;Autres cultures non permanentes;Perte de contrôle d'un véhicule
2015;0119Z;Autres cultures non permanentes;Violence et agression
2015;0121Z;Culture de la vigne;Autres causes
2015;0121Z;Culture de la vigne;Chute de hauteur
2015;0121Z;Culture de la vigne;Entrainé par quelque chose ou quelqu'un
2015;0121Z;Culture de la vigne;Geste intempestif
2015;0121Z;Culture de la vigne;Perte d'équilibre avec chute
