annee;code_NAF5;libelle_NAF5;sexe
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Femmes
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Hommes
2015;0112Z;Culture du riz;Femmes
2015;0112Z;Culture du riz;Hommes
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Femmes
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Hommes
2015;0114Z;Culture de la canne à sucre;Femmes
2015;0114Z;Culture de la canne à sucre;Hommes
2015;0115Z;Culture du tabac;Femmes
2015;0115Z;Culture du tabac;Hommes
2015;0116Z;Culture de plantes à fibres;Femmes
2015;0116Z;Culture de plantes à fibres;Hommes
2015;0119Z;Autres cultures non permanentes;Femmes
2015;0119Z;Autres cultures non permanentes;Hommes
2015;0121Z;Culture de la vigne;Femmes
2015;0121Z;Culture de la vigne;Hommes
2015;0122Z;Culture de fruits tropicaux et subtropicaux;Femmes
2015;0122Z;Culture de fruits tropicaux et subtropicaux;Hommes
2015;0123Z;Culture d'agrumes;Femmes
2015;0123Z;Culture d'agrumes;Hommes
2015;0124Z;Culture de fruits à pépins et à noyau;Femmes
2015;0124Z;Culture de fruits à pépins et à noyau;Hommes
2015;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Femmes
2015;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Hommes
2015;0126Z;Culture de fruits oléagineux;Femmes
2015;0126Z;Culture de fruits oléagineux;Hommes
2015;0127Z;Culture de plantes à boissons;Femmes
2015;0127Z;Culture de plantes à boissons;Hommes
2015;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Femmes
2015;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Hommes
2015;0129Z;Autres cultures permanentes;Femmes
2015;0129Z;Autres cultures permanentes;Hommes
2015;0130Z;Reproduction de plantes;Femmes
2015;0130Z;Reproduction de plantes;Hommes
2015;0141Z;Élevage de vaches laitières;Femmes
2015;0141Z;Élevage de vaches laitières;Hommes
2015;0142Z;Élevage d'autres bovins et de buffles;Femmes
2015;0142Z;Élevage d'autres bovins et de buffles;Hommes
2015;0143Z;Élevage de chevaux et d'autres équidés;Femmes
2015;0143Z;Élevage de chevaux et d'autres équidés;Hommes
2015;0144Z;Élevage de chameaux et d'autres camélidés;Femmes
2015;0144Z;Élevage de chameaux et d'autres camélidés;Hommes
2015;0145Z;Élevage d'ovins et de caprins;Femmes
2015;0145Z;Élevage d'ovins et de caprins;Hommes
2015;0146Z;Élevage de porcins;Femmes
2015;0146Z;Élevage de porcins;Hommes
2015;0147Z;Élevage de volailles;Femmes
2015;0147Z;Élevage de volailles;Hommes
2015;0149Z;Élevage d'autres animaux;Femmes
2015;0149Z;Élevage d'autres animaux;Hommes
2015;0150Z;Culture et élevage associés;Femmes
2015;0150Z;Culture et élevage associés;Hommes
2015;0161Z;Activités de soutien aux cultures;Femmes
2015;0161Z;Activités de soutien aux cultures;Hommes
2015;0162Z;Activités de soutien à la production animale;Femmes
2015;0162Z;Activités de soutien à la production animale;Hommes
2015;0163Z;Traitement primaire des récoltes;Femmes
2015;0163Z;Traitement primaire des récoltes;Hommes
2015;0164Z;Traitement des semences;Femmes
2015;0164Z;Traitement des semences;Hommes
2015;0170Z;Chasse, piégeage et services annexes;Femmes
2015;0170Z;Chasse, piégeage et services annexes;Hommes
2015;0210Z;Sylviculture et autres activités forestières;Femmes
2015;0210Z;Sylviculture et autres activités forestières;Hommes
2015;0220Z;Exploitation forestière;Femmes
2015;0220Z;Exploitation forestière;Hommes
2015;0230Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage;Femmes
2015;0230Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage;Hommes
2015;0240Z;Services de soutien à l'exploitation forestière;Femmes
2015;0240Z;Services de soutien à l'exploitation forestière;Hommes
2015;0311Z;Pêche en mer;Femmes
2015;0311Z;Pêche en mer;Hommes
2015;0312Z;Pêche en eau douce;Femmes
2015;0312Z;Pêche en eau douce;Hommes
2015;0321Z;Aquaculture en mer;Femmes
2015;0321Z;Aquaculture en mer;Hommes
2015;0322Z;Aquaculture en eau douce;Femmes
2015;0322Z;Aquaculture en eau douce;Hommes
2015;0510Z;Extraction de houille;Femmes
2015;0510Z;Extraction de houille;Hommes
2015;0520Z;Extraction de lignite;Femmes
2015;0520Z;Extraction de lignite;Hommes
2015;0610Z;Extraction de pétrole brut;Femmes
2015;0610Z;Extraction de pétrole brut;Hommes
2015;0620Z;Extraction de gaz naturel;Femmes
2015;0620Z;Extraction de gaz naturel;Hommes
2015;0710Z;Extraction de minerais de fer;Femmes
2015;0710Z;Extraction de minerais de fer;Hommes
2015;0721Z;Extraction de minerais d'uranium et de thorium;Femmes
2015;0721Z;Extraction de minerais d'uranium et de thorium;Hommes
2015;0729Z;Extraction d'autres minerais de métaux non ferreux;Femmes
2015;0729Z;Extraction d'autres minerais de métaux non ferreux;Hommes
2015;0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;Femmes
2015;0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;Hommes
2015;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Femmes
2015;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;Hommes
2015;0891Z;Extraction des minéraux chimiques et d'engrais minéraux;Femmes
2015;0891Z;Extraction des minéraux chimiques et d'engrais minéraux;Hommes
2015;0892Z;Extraction de tourbe;Femmes
2015;0892Z;Extraction de tourbe;Hommes
2015;0893Z;Production de sel;Femmes
2015;0893Z;Production de sel;Hommes
2015;0899Z;Autres activités extractives n.c.a.;Femmes
2015;0899Z;Autres activités extractives n.c.a.;Hommes
2015;0910Z;Activités de soutien à l'extraction d'hydrocarbures;Femmes
2015;0910Z;Activités de soutien à l'extraction d'hydrocarbures;Hommes
2015;0990Z;Activités de soutien aux autres industries extractives;Femmes
2015;0990Z;Activités de soutien aux autres industries extractives;Hommes
2015;1011Z;Transformation et conservation de la viande de boucherie;Femmes
2015;1011Z;Transformation et conservation de la viande de boucherie;Hommes
2015;1012Z;Transformation et conservation de la viande de volaille;Femmes
2015;1012Z;Transformation et conservation de la viande de volaille;Hommes
2015;1013A;Préparation industrielle de produits à base de viande;Femmes
2015;1013A;Préparation industrielle de produits à base de viande;Hommes
2015;1013B;Charcuterie;Femmes
2015;1013B;Charcuterie;Hommes
2015;1020Z;Transformation et conservation de poisson, de crustacés et de mollusques;Femmes
2015;1020Z;Transformation et conservation de poisson, de crustacés et de mollusques;Hommes
2015;1031Z;Transformation et conservation de pommes de terre;Femmes
2015;1031Z;Transformation et conservation de pommes de terre;Hommes
2015;1032Z;Préparation de jus de fruits et légumes;Femmes
2015;1032Z;Préparation de jus de fruits et légumes;Hommes
2015;1039A;Autre transformation et conservation de légumes;Femmes
2015;1039A;Autre transformation et conservation de légumes;Hommes
2015;1039B;Transformation et conservation de fruits;Femmes
2015;1039B;Transformation et conservation de fruits;Hommes
2015;1041A;Fabrication d'huiles et graisses brutes;Femmes
2015;1041A;Fabrication d'huiles et graisses brutes;Hommes
2015;1041B;Fabrication d'huiles et graisses raffinées;Femmes
2015;1041B;Fabrication d'huiles et graisses raffinées;Hommes
2015;1042Z;Fabrication de margarine et graisses comestibles similaires;Femmes
2015;1042Z;Fabrication de margarine et graisses comestibles similaires;Hommes
2015;1051A;Fabrication de lait liquide et de produits frais;Femmes
2015;1051A;Fabrication de lait liquide et de produits frais;Hommes
2015;1051B;Fabrication de beurre;Femmes
2015;1051B;Fabrication de beurre;Hommes
2015;1051C;Fabrication de fromage;Femmes
2015;1051C;Fabrication de fromage;Hommes
2015;1051D;Fabrication d'autres produits laitiers;Femmes
2015;1051D;Fabrication d'autres produits laitiers;Hommes
2015;1052Z;Fabrication de glaces et sorbets;Femmes
2015;1052Z;Fabrication de glaces et sorbets;Hommes
2015;1061A;Meunerie;Femmes
2015;1061A;Meunerie;Hommes
2015;1061B;Autres activités du travail des grains;Femmes
2015;1061B;Autres activités du travail des grains;Hommes
2015;1062Z;Fabrication de produits amylacés;Femmes
2015;1062Z;Fabrication de produits amylacés;Hommes
2015;1071A;Fabrication industrielle de pain et de pâtisserie fraîche;Femmes
2015;1071A;Fabrication industrielle de pain et de pâtisserie fraîche;Hommes
