annee;code_NAF1;libelle_NAF1;NAF1;code_NAF5;libelle_NAF5;NAF5;nb_MP_psy;nb_mp_psy_int
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;0111Z - Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0112Z;Culture du riz;0112Z - Culture du riz;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0113Z;Culture de légumes, de melons, de racines et de tubercules;0113Z - Culture de légumes, de melons, de racines et de tubercules;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0114Z;Culture de la canne à sucre;0114Z - Culture de la canne à sucre;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0115Z;Culture du tabac;0115Z - Culture du tabac;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0116Z;Culture de plantes à fibres;0116Z - Culture de plantes à fibres;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0119Z;Autres cultures non permanentes;0119Z - Autres cultures non permanentes;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0141Z;Élevage de vaches laitières;0141Z - Élevage de vaches laitières;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0142Z;Élevage d'autres bovins et de buffles;0142Z - Élevage d'autres bovins et de buffles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0143Z;Élevage de chevaux et d'autres équidés;0143Z - Élevage de chevaux et d'autres équidés;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0144Z;Élevage de chameaux et d'autres camélidés;0144Z - Élevage de chameaux et d'autres camélidés;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0145Z;Élevage d'ovins et de caprins;0145Z - Élevage d'ovins et de caprins;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0146Z;Élevage de porcins;0146Z - Élevage de porcins;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0147Z;Élevage de volailles;0147Z - Élevage de volailles;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0149Z;Élevage d'autres animaux;0149Z - Élevage d'autres animaux;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0150Z;Culture et élevage associés;0150Z - Culture et élevage associés;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0161Z;Activités de soutien aux cultures;0161Z - Activités de soutien aux cultures;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0162Z;Activités de soutien à la production animale;0162Z - Activités de soutien à la production animale;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0163Z;Traitement primaire des récoltes;0163Z - Traitement primaire des récoltes;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0164Z;Traitement des semences;0164Z - Traitement des semences;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0170Z;Chasse, piégeage et services annexes;0170Z - Chasse, piégeage et services annexes;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0210Z;Sylviculture et autres activités forestières;0210Z - Sylviculture et autres activités forestières;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0220Z;Exploitation forestière;0220Z - Exploitation forestière;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0230Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage;0230Z - Récolte de produits forestiers non ligneux poussant à l'état sauvage;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0240Z;Services de soutien à l'exploitation forestière;0240Z - Services de soutien à l'exploitation forestière;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0311Z;Pêche en mer;0311Z - Pêche en mer;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0312Z;Pêche en eau douce;0312Z - Pêche en eau douce;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0321Z;Aquaculture en mer;0321Z - Aquaculture en mer;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0322Z;Aquaculture en eau douce;0322Z - Aquaculture en eau douce;0;0
2015;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;TOUS;Total Agriculture, sylviculture et pêche;Total Agriculture, sylviculture et pêche;0;0
2015;B;Industries extractives;B - Industries extractives;0510Z;Extraction de houille;0510Z - Extraction de houille;0;0
2015;B;Industries extractives;B - Industries extractives;0520Z;Extraction de lignite;0520Z - Extraction de lignite;0;0
2015;B;Industries extractives;B - Industries extractives;0610Z;Extraction de pétrole brut;0610Z - Extraction de pétrole brut;0;0
2015;B;Industries extractives;B - Industries extractives;0620Z;Extraction de gaz naturel;0620Z - Extraction de gaz naturel;0;0
2015;B;Industries extractives;B - Industries extractives;0710Z;Extraction de minerais de fer;0710Z - Extraction de minerais de fer;0;0
2015;B;Industries extractives;B - Industries extractives;0721Z;Extraction de minerais d'uranium et de thorium;0721Z - Extraction de minerais d'uranium et de thorium;0;0
2015;B;Industries extractives;B - Industries extractives;0729Z;Extraction d'autres minerais de métaux non ferreux;0729Z - Extraction d'autres minerais de métaux non ferreux;0;0
2015;B;Industries extractives;B - Industries extractives;0811Z;Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;0811Z - Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise;0;0
2015;B;Industries extractives;B - Industries extractives;0812Z;Exploitation de gravières et sablières, extraction d'argiles et de kaolin;0812Z - Exploitation de gravières et sablières, extraction d'argiles et de kaolin;0;0
2015;B;Industries extractives;B - Industries extractives;0891Z;Extraction des minéraux chimiques et d'engrais minéraux;0891Z - Extraction des minéraux chimiques et d'engrais minéraux;0;0
2015;B;Industries extractives;B - Industries extractives;0892Z;Extraction de tourbe;0892Z - Extraction de tourbe;0;0
2015;B;Industries extractives;B - Industries extractives;0893Z;Production de sel;0893Z - Production de sel;0;0
2015;B;Industries extractives;B - Industries extractives;0899Z;Autres activités extractives n.c.a.;0899Z - Autres activités extractives n.c.a.;0;0
2015;B;Industries extractives;B - Industries extractives;0910Z;Activités de soutien à l'extraction d'hydrocarbures;0910Z - Activités de soutien à l'extraction d'hydrocarbures;0;0
2015;B;Industries extractives;B - Industries extractives;0990Z;Activités de soutien aux autres industries extractives;0990Z - Activités de soutien aux autres industries extractives;0;0
2015;B;Industries extractives;B - Industries extractives;TOUS;Total Industries extractives;Total Industries extractives;0;0
