annee;code_region_admin;libelle_region_admin;risque;nb_sinistres;nb_salaries;indice_frequence;nb_sinistres_int;indice_frequence_int
2005;01;Guadeloupe;Accidents de trajet;214;86011;2,5;214;2.5
2005;01;Guadeloupe;Accidents du travail;1396;86011;16,2;1396;16.2
2005;01;Guadeloupe;Maladies professionnelles;20;86011;NC;20;
2005;01;Guadeloupe;Tous risques confondus;1630;86011;NC;1630;
2005;02;Martinique;Accidents de trajet;185;89687;2,1;185;2.1
2005;02;Martinique;Accidents du travail;1520;89687;16,9;1520;16.9
2005;02;Martinique;Maladies professionnelles;2;89687;NC;2;
2005;02;Martinique;Tous risques confondus;1707;89687;NC;1707;
2005;03;Guyane;Accidents de trajet;48;29082;1,7;48;1.7
2005;03;Guyane;Accidents du travail;428;29082;14,7;428;14.7
2005;03;Guyane;Maladies professionnelles;5;29082;NC;5;
2005;03;Guyane;Tous risques confondus;481;29082;NC;481;
2005;04;La Réunion;Accidents de trajet;389;154410;2,5;389;2.5
2005;04;La Réunion;Accidents du travail;3766;154410;24,4;3766;24.4
2005;04;La Réunion;Maladies professionnelles;89;154410;NC;89;
2005;04;La Réunion;Tous risques confondus;4244;154410;NC;4244;
2005;06;Mayotte;Accidents de trajet;0;0;NC;0;
2005;06;Mayotte;Accidents du travail;0;0;NC;0;
2005;06;Mayotte;Maladies professionnelles;0;0;NC;0;
2005;06;Mayotte;Tous risques confondus;0;0;NC;0;
2005;11;Ile-de-France;Accidents de trajet;23218;4467957;5,2;23218;5.2
2005;11;Ile-de-France;Accidents du travail;118545;4467957;26,5;118545;26.5
2005;11;Ile-de-France;Maladies professionnelles;2611;4467957;NC;2611;
2005;11;Ile-de-France;Tous risques confondus;144374;4467957;NC;144374;
2005;24;Centre-Val de Loire;Accidents de trajet;3072;667926;4,6;3072;4.6
2005;24;Centre-Val de Loire;Accidents du travail;30023;667926;44,9;30023;44.9
2005;24;Centre-Val de Loire;Maladies professionnelles;1396;667926;NC;1396;
2005;24;Centre-Val de Loire;Tous risques confondus;34491;667926;NC;34491;
2005;27;Bourgogne-Franche-Comté;Accidents de trajet;2966;735624;4,0;2966;4.0
