annee;risque;code_naf1;libelle_naf1;naf1;code_naf5;libelle_naf5;naf5;nb_sinistres;nb_salaries;indice_frequence;nb_sinistres_int;nb_salaries_int;indice_frequence_int
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;0111Z - Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;7;434;NC;7;434;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0112Z;Culture du riz;0112Z - Culture du riz;0;15;NC;0;15;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0113Z;Culture de légumes, de melons, de racines et de tubercules;0113Z - Culture de légumes, de melons, de racines et de tubercules;3;1300;2.3;3;1300;2.3
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0114Z;Culture de la canne à sucre;0114Z - Culture de la canne à sucre;0;1373;0;0;1373;0.0
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0115Z;Culture du tabac;0115Z - Culture du tabac;0;7;NC;0;7;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0116Z;Culture de plantes à fibres;0116Z - Culture de plantes à fibres;NS;NS;NC;;;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0119Z;Autres cultures non permanentes;0119Z - Autres cultures non permanentes;0;86;NC;0;86;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0121Z;Culture de la vigne;0121Z - Culture de la vigne;3;183;NC;3;183;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0122Z;Culture de fruits tropicaux et subtropicaux;0122Z - Culture de fruits tropicaux et subtropicaux;6;3576;1.7;6;3576;1.7
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0123Z;Culture d'agrumes;0123Z - Culture d'agrumes;0;6;NC;0;6;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0124Z;Culture de fruits à pépins et à noyau;0124Z - Culture de fruits à pépins et à noyau;1;399;NC;1;399;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0125Z - Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;0;15;NC;0;15;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0126Z;Culture de fruits oléagineux;0126Z - Culture de fruits oléagineux;NS;NS;NC;;;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0127Z;Culture de plantes à boissons;0127Z - Culture de plantes à boissons;NS;NS;NC;;;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;0128Z - Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;1;73;NC;1;73;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0129Z;Autres cultures permanentes;0129Z - Autres cultures permanentes;0;14;NC;0;14;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0130Z;Reproduction de plantes;0130Z - Reproduction de plantes;3;524;NC;3;524;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0141Z;Élevage de vaches laitières;0141Z - Élevage de vaches laitières;0;28;NC;0;28;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0142Z;Élevage d'autres bovins et de buffles;0142Z - Élevage d'autres bovins et de buffles;2;235;NC;2;235;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0143Z;Élevage de chevaux et d'autres équidés;0143Z - Élevage de chevaux et d'autres équidés;0;77;NC;0;77;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0144Z;Élevage de chameaux et d'autres camélidés;0144Z - Élevage de chameaux et d'autres camélidés;0;0;NC;0;0;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0145Z;Élevage d'ovins et de caprins;0145Z - Élevage d'ovins et de caprins;0;24;NC;0;24;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0146Z;Élevage de porcins;0146Z - Élevage de porcins;1;114;NC;1;114;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0147Z;Élevage de volailles;0147Z - Élevage de volailles;0;419;NC;0;419;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0149Z;Élevage d'autres animaux;0149Z - Élevage d'autres animaux;0;97;NC;0;97;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0150Z;Culture et élevage associés;0150Z - Culture et élevage associés;0;559;NC;0;559;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0161Z;Activités de soutien aux cultures;0161Z - Activités de soutien aux cultures;1;663;NC;1;663;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0162Z;Activités de soutien à la production animale;0162Z - Activités de soutien à la production animale;3;748;NC;3;748;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0163Z;Traitement primaire des récoltes;0163Z - Traitement primaire des récoltes;0;6;NC;0;6;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0164Z;Traitement des semences;0164Z - Traitement des semences;NS;NS;NC;;;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0170Z;Chasse, piégeage et services annexes;0170Z - Chasse, piégeage et services annexes;0;4;NC;0;4;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0210Z;Sylviculture et autres activités forestières;0210Z - Sylviculture et autres activités forestières;0;81;NC;0;81;
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0220Z;Exploitation forestière;0220Z - Exploitation forestière;2;1023;2;2;1023;2.0
2024;Accidents de trajet;A;Agriculture, sylviculture et pêche;A - Agriculture, sylviculture et pêche;0230Z;Récolte de produits forestiers non ligneux poussant à l'état sauvage;0230Z - Récolte de produits forestiers non ligneux poussant à l'état sauvage;0;2;NC;0;2;
