annee;code_NAF5;libelle_NAF5;risque;nb_jours_arret_travail
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Accidents de trajet;0.0
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Accidents du travail;255.0
2015;0111Z;Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses;Maladies professionnelles;318.0
2015;0112Z;Culture du riz;Accidents de trajet;0.0
2015;0112Z;Culture du riz;Accidents du travail;0.0
2015;0112Z;Culture du riz;Maladies professionnelles;0.0
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Accidents de trajet;421.0
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Accidents du travail;4117.0
2015;0113Z;Culture de légumes, de melons, de racines et de tubercules;Maladies professionnelles;1603.0
2015;0114Z;Culture de la canne à sucre;Accidents de trajet;63.0
2015;0114Z;Culture de la canne à sucre;Accidents du travail;1175.0
2015;0114Z;Culture de la canne à sucre;Maladies professionnelles;0.0
2015;0115Z;Culture du tabac;Accidents de trajet;0.0
2015;0115Z;Culture du tabac;Accidents du travail;0.0
2015;0115Z;Culture du tabac;Maladies professionnelles;0.0
2015;0116Z;Culture de plantes à fibres;Accidents de trajet;0.0
2015;0116Z;Culture de plantes à fibres;Accidents du travail;0.0
2015;0116Z;Culture de plantes à fibres;Maladies professionnelles;0.0
2015;0119Z;Autres cultures non permanentes;Accidents de trajet;0.0
2015;0119Z;Autres cultures non permanentes;Accidents du travail;382.0
2015;0119Z;Autres cultures non permanentes;Maladies professionnelles;0.0
2015;0121Z;Culture de la vigne;Accidents de trajet;0.0
2015;0121Z;Culture de la vigne;Accidents du travail;29.0
2015;0121Z;Culture de la vigne;Maladies professionnelles;131.0
2015;0122Z;Culture de fruits tropicaux et subtropicaux;Accidents de trajet;805.0
2015;0122Z;Culture de fruits tropicaux et subtropicaux;Accidents du travail;11421.0
2015;0122Z;Culture de fruits tropicaux et subtropicaux;Maladies professionnelles;3502.0
2015;0123Z;Culture d'agrumes;Accidents de trajet;0.0
2015;0123Z;Culture d'agrumes;Accidents du travail;0.0
2015;0123Z;Culture d'agrumes;Maladies professionnelles;0.0
2015;0124Z;Culture de fruits à pépins et à noyau;Accidents de trajet;373.0
2015;0124Z;Culture de fruits à pépins et à noyau;Accidents du travail;1564.0
2015;0124Z;Culture de fruits à pépins et à noyau;Maladies professionnelles;510.0
2015;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Accidents de trajet;0.0
2015;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Accidents du travail;0.0
2015;0125Z;Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque;Maladies professionnelles;0.0
2015;0126Z;Culture de fruits oléagineux;Accidents de trajet;0.0
2015;0126Z;Culture de fruits oléagineux;Accidents du travail;0.0
2015;0126Z;Culture de fruits oléagineux;Maladies professionnelles;0.0
2015;0127Z;Culture de plantes à boissons;Accidents de trajet;0.0
2015;0127Z;Culture de plantes à boissons;Accidents du travail;0.0
2015;0127Z;Culture de plantes à boissons;Maladies professionnelles;0.0
2015;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Accidents de trajet;6.0
2015;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Accidents du travail;271.0
2015;0128Z;Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Maladies professionnelles;0.0
2015;0129Z;Autres cultures permanentes;Accidents de trajet;0.0
2015;0129Z;Autres cultures permanentes;Accidents du travail;0.0
2015;0129Z;Autres cultures permanentes;Maladies professionnelles;0.0
2015;0130Z;Reproduction de plantes;Accidents de trajet;0.0
2015;0130Z;Reproduction de plantes;Accidents du travail;89.0
2015;0130Z;Reproduction de plantes;Maladies professionnelles;0.0
2015;0141Z;Élevage de vaches laitières;Accidents de trajet;0.0
2015;0141Z;Élevage de vaches laitières;Accidents du travail;37.0
2015;0141Z;Élevage de vaches laitières;Maladies professionnelles;0.0
2015;0142Z;Élevage d'autres bovins et de buffles;Accidents de trajet;0.0
2015;0142Z;Élevage d'autres bovins et de buffles;Accidents du travail;357.0
2015;0142Z;Élevage d'autres bovins et de buffles;Maladies professionnelles;28.0
2015;0143Z;Élevage de chevaux et d'autres équidés;Accidents de trajet;0.0
2015;0143Z;Élevage de chevaux et d'autres équidés;Accidents du travail;63.0
2015;0143Z;Élevage de chevaux et d'autres équidés;Maladies professionnelles;0.0
2015;0144Z;Élevage de chameaux et d'autres camélidés;Accidents de trajet;0.0
2015;0144Z;Élevage de chameaux et d'autres camélidés;Accidents du travail;0.0
2015;0144Z;Élevage de chameaux et d'autres camélidés;Maladies professionnelles;0.0
2015;0145Z;Élevage d'ovins et de caprins;Accidents de trajet;0.0
2015;0145Z;Élevage d'ovins et de caprins;Accidents du travail;0.0
2015;0145Z;Élevage d'ovins et de caprins;Maladies professionnelles;0.0
2015;0146Z;Élevage de porcins;Accidents de trajet;0.0
2015;0146Z;Élevage de porcins;Accidents du travail;372.0
2015;0146Z;Élevage de porcins;Maladies professionnelles;0.0
2015;0147Z;Élevage de volailles;Accidents de trajet;16.0
2015;0147Z;Élevage de volailles;Accidents du travail;1018.0
2015;0147Z;Élevage de volailles;Maladies professionnelles;612.0
2015;0149Z;Élevage d'autres animaux;Accidents de trajet;0.0
2015;0149Z;Élevage d'autres animaux;Accidents du travail;0.0
2015;0149Z;Élevage d'autres animaux;Maladies professionnelles;0.0
2015;0150Z;Culture et élevage associés;Accidents de trajet;0.0
2015;0150Z;Culture et élevage associés;Accidents du travail;593.0
2015;0150Z;Culture et élevage associés;Maladies professionnelles;69.0
2015;0161Z;Activités de soutien aux cultures;Accidents de trajet;23.0
2015;0161Z;Activités de soutien aux cultures;Accidents du travail;1368.0
2015;0161Z;Activités de soutien aux cultures;Maladies professionnelles;609.0
2015;0162Z;Activités de soutien à la production animale;Accidents de trajet;63.0
2015;0162Z;Activités de soutien à la production animale;Accidents du travail;1310.0
2015;0162Z;Activités de soutien à la production animale;Maladies professionnelles;0.0
2015;0163Z;Traitement primaire des récoltes;Accidents de trajet;0.0
2015;0163Z;Traitement primaire des récoltes;Accidents du travail;0.0
2015;0163Z;Traitement primaire des récoltes;Maladies professionnelles;0.0
2015;0164Z;Traitement des semences;Accidents de trajet;0.0
2015;0164Z;Traitement des semences;Accidents du travail;0.0
2015;0164Z;Traitement des semences;Maladies professionnelles;0.0
